"Architecture"	"Complexity"	"Convergence"
"architecture 1"	259	FALSE
"architecture 1"	259	TRUE
"architecture 1"	262	TRUE
"architecture 1"	264	FALSE
"architecture 1"	265	TRUE
"architecture 1"	268	TRUE
"architecture 1"	272	TRUE
"architecture 1"	273	TRUE
"architecture 1"	274	TRUE
"architecture 1"	275	TRUE
"architecture 1"	275	TRUE
"architecture 1"	278	TRUE
"architecture 1"	279	TRUE
"architecture 1"	280	FALSE
"architecture 1"	282	TRUE
"architecture 1"	283	TRUE
"architecture 1"	287	FALSE
"architecture 1"	289	TRUE
"architecture 1"	292	TRUE
"architecture 1"	298	TRUE
"architecture 2"	103	FALSE
"architecture 2"	107	FALSE
"architecture 2"	113	TRUE
"architecture 2"	115	FALSE
"architecture 2"	115	FALSE
"architecture 2"	120	FALSE
"architecture 2"	121	FALSE
"architecture 2"	121	FALSE
"architecture 2"	122	FALSE
"architecture 2"	126	TRUE
"architecture 2"	130	FALSE
"architecture 2"	135	TRUE
"architecture 2"	135	TRUE
"architecture 2"	136	FALSE
"architecture 2"	138	FALSE
"architecture 2"	138	FALSE
"architecture 2"	142	FALSE
"architecture 2"	143	TRUE
"architecture 2"	143	FALSE
"architecture 2"	146	FALSE
"architecture 2"	148	FALSE
"architecture 2"	152	FALSE
"architecture 2"	154	FALSE
"architecture 2"	156	FALSE
"architecture 2"	157	FALSE
"architecture 2"	157	FALSE
"architecture 2"	159	FALSE
"architecture 2"	164	FALSE
"architecture 2"	166	FALSE
"architecture 2"	167	TRUE
"architecture 2"	168	FALSE
"architecture 2"	171	FALSE
"architecture 2"	171	TRUE
"architecture 2"	176	FALSE
"architecture 2"	178	FALSE
"architecture 2"	178	TRUE
"architecture 2"	183	TRUE
"architecture 2"	186	FALSE
"architecture 2"	189	TRUE
"architecture 2"	189	FALSE
"architecture 2"	191	FALSE
"architecture 2"	191	FALSE
"architecture 2"	191	TRUE
"architecture 2"	196	FALSE
"architecture 2"	197	TRUE
"architecture 2"	199	FALSE
"architecture 2"	200	TRUE
"architecture 2"	201	TRUE
"architecture 2"	202	TRUE
"architecture 2"	202	TRUE
"architecture 2"	205	FALSE
"architecture 2"	206	TRUE
"architecture 2"	210	TRUE
"architecture 2"	211	FALSE
"architecture 2"	212	TRUE
"architecture 2"	215	FALSE
"architecture 2"	218	TRUE
"architecture 2"	219	FALSE
"architecture 2"	220	TRUE
"architecture 2"	220	FALSE
"architecture 2"	220	TRUE
"architecture 2"	221	TRUE
"architecture 2"	221	TRUE
"architecture 2"	223	FALSE
"architecture 2"	226	TRUE
"architecture 2"	227	TRUE
"architecture 2"	228	FALSE
"architecture 2"	229	TRUE
"architecture 2"	229	FALSE
"architecture 2"	231	FALSE
"architecture 2"	237	TRUE
"architecture 2"	242	TRUE
"architecture 2"	243	TRUE
"architecture 2"	245	FALSE
"architecture 2"	245	TRUE
"architecture 2"	246	TRUE
"architecture 2"	246	TRUE
"architecture 2"	248	TRUE
"architecture 2"	249	FALSE
"architecture 2"	251	TRUE
"architecture 2"	252	TRUE
"architecture 2"	256	TRUE
"architecture 2"	268	TRUE
"architecture 2"	268	TRUE
"architecture 2"	271	FALSE
"architecture 2"	273	TRUE
"architecture 2"	275	TRUE
"architecture 2"	276	TRUE
"architecture 2"	277	FALSE
"architecture 2"	279	TRUE
"architecture 2"	279	FALSE
"architecture 2"	281	TRUE
"architecture 2"	285	TRUE
"architecture 2"	285	FALSE
"architecture 2"	286	TRUE
"architecture 2"	289	TRUE
"architecture 2"	295	TRUE
"architecture 2"	297	TRUE
"architecture 2"	298	TRUE
"architecture 2"	299	TRUE
