"Architecture"	"Complexity"	"Convergence"
"architecture 2"	226	FALSE
"architecture 2"	229	FALSE
"architecture 2"	234	TRUE
"architecture 2"	236	TRUE
"architecture 2"	239	TRUE
"architecture 2"	239	TRUE
"architecture 2"	243	FALSE
"architecture 2"	244	TRUE
"architecture 2"	249	FALSE
"architecture 2"	251	FALSE
"architecture 2"	252	TRUE
"architecture 2"	252	TRUE
"architecture 2"	257	FALSE
"architecture 2"	257	TRUE
"architecture 2"	265	FALSE
"architecture 2"	266	FALSE
"architecture 2"	267	FALSE
"architecture 2"	268	TRUE
"architecture 2"	269	TRUE
"architecture 2"	272	TRUE
"architecture 2"	274	TRUE
"architecture 2"	275	TRUE
"architecture 2"	276	TRUE
"architecture 2"	276	TRUE
"architecture 2"	281	TRUE
"architecture 2"	282	TRUE
"architecture 2"	284	TRUE
"architecture 2"	288	TRUE
"architecture 2"	290	TRUE
"architecture 2"	293	TRUE
"architecture 2"	295	TRUE
"architecture 2"	297	FALSE
